incident_id,source_file,source_commodity_group,season,series_code,month,month_num,year_raw,year_start,year_end,period_key,region,province,municipality,barangay,latitude,longitude,coordinate_quality,crop_affected,commodity_group,date_planted,total_area_planted_ha,variety,growth_stage,pest_observed,pest_family,monitored_validated_ha,total_area_affected_ha,percent_infestation,severity,insects_per_hill,total_area_treated_ha,total_area_untreated_ha,treatment_gap_ha,action_taken,remarks,date_reported,affected_farmers,risk_score,risk_class
RCPC-RICE-00001,rice_pest_diseases_2015_2026.csv,rice,DS 2014-2015,,January,1,2015,2015,2015,2015-01,II,Cagayan,Sta. Ana,2,18.48,122.16,valid,Rice,rice,,1825,Inbred/Hybrid,Tillering,Rodents,Rodents,60,60,0.35,,,60,0,0,,,,,7.6,Watchlist
RCPC-RICE-00002,rice_pest_diseases_2015_2026.csv,rice,DS 2014-2015,,July,7,2015,2015,2015,2015-07,II,Isabela,Ramon,2,16.8,121.53,valid,Rice,rice,,15,Inbred,Seedling stage,Rodents,Rodents,15,10,6.5,,,,0,0,,,,,2.9,Watchlist
RCPC-RICE-00003,rice_pest_diseases_2015_2026.csv,rice,DS 2014-2015,,January,1,2015,2015,2015,2015-01,II,Isabela,Ramon,2,16.8,121.53,valid,Rice,rice,,15,Glut(Diket),Tillering,Rice tungro virus,Rice Tungro Virus,15,15,5,,,15,0,0,,,,,3.1,Watchlist
RCPC-RICE-00004,rice_pest_diseases_2015_2026.csv,rice,DS 2014-2015,,January,1,2015,2015,2015,2015-01,II,Isabela,City of Ilagan,3,17.13,122.01,valid,Rice,rice,,600,Inbred,Tillering,Rodents,Rodents,35,35,0.5,,,35,0,0,,,,,4.5,Watchlist
RCPC-RICE-00005,rice_pest_diseases_2015_2026.csv,rice,DS 2014-2015,,January,1,2015,2015,2015,2015-01,II,Quirino,Saguday,4,,,invalid_or_missing,Rice,rice,,20,Inred,Reproductive,Rodents,Rodents,390.4,390.4,0.75,,,390.4,0,0,,,,,35.2,Moderate
RCPC-RICE-00006,rice_pest_diseases_2015_2026.csv,rice,DS 2014-2015,,January,1,2015,2015,2015,2015-01,II,Quirino,Diffun,7,16.55,121.47,valid,Rice,rice,,759,Inred,Tillering,Kresek,Bacterial Leaf Blight,39.8,39.8,5,,,39.8,0,0,,,,,6.2,Watchlist
RCPC-RICE-00007,rice_pest_diseases_2015_2026.csv,rice,DS 2014-2015,,January,1,2015,2015,2015,2015-01,II,Isabela,Burgos,7,17.1,121.7,valid,Rice,rice,,2195,Inbred,Tillering,Rodents,Rodents,304.8,304.8,0.75,,,304.8,0,0,,,,,35.2,Moderate
RCPC-RICE-00008,rice_pest_diseases_2015_2026.csv,rice,DS 2014-2015,,July,7,2015,2015,2015,2015-07,II,Nueva Vizcaya,Bambang,10,16.4,121.1,valid,Rice,rice,,307,"SL-8, NSIC, 238, 152",Reproductive,BLS,Bacterial Leaf Streak,75,75,12.5,,,75,0,0,,,,,12.5,Watchlist
RCPC-RICE-00009,rice_pest_diseases_2015_2026.csv,rice,DS 2014-2015,,January,1,2015,2015,2015,2015-01,II,Isabela,Aurora,10,16.98,121.62,valid,Rice,rice,,91,Inbred/Hybrid,Seedling stage,Rodents,Rodents,600,600,0.2,,,600,0,0,,,,,35,Moderate
RCPC-RICE-00010,rice_pest_diseases_2015_2026.csv,rice,DS 2014-2015,,July,7,2015,2015,2015,2015-07,II,Isabela,Aurora,10,16.98,121.62,valid,Rice,rice,,75,Inbred/Hybrid,Seedling stage,Rodents,Rodents,20,5,4,,,,0,0,,,,,1.6,Watchlist
RCPC-RICE-00011,rice_pest_diseases_2015_2026.csv,rice,DS 2014-2015,,January,1,2015,2015,2015,2015-01,II,Cagayan,Gonzaga,12,18.24,122.11,valid,Rice,rice,,200,Inbred/Hybrid,Tillering,Rodents,Rodents,76.6,76.6,0.75,,,76.6,0,0,,,,,9.8,Watchlist
RCPC-RICE-00012,rice_pest_diseases_2015_2026.csv,rice,DS 2014-2015,,January,1,2015,2015,2015,2015-01,II,Isabela,Alicia,15,16.78,121.69,valid,Rice,rice,,20,Inbred,Tillering,Rodents,Rodents,759,759,1,,,759,0,0,,,,,35.2,Moderate
RCPC-RICE-00013,rice_pest_diseases_2015_2026.csv,rice,DS 2014-2015,,January,1,2015,2015,2015,2015-01,II,Isabela,Ramon,19,16.8,121.53,valid,Rice,rice,,454,,Tillering,Rodents,Rodents,2195,2195,1,,,2195,0,0,,,,,35.2,Moderate
RCPC-RICE-00014,rice_pest_diseases_2015_2026.csv,rice,DS 2014-2015,,January,1,2015,2015,2015,2015-01,II,Cagayan,Buguey,21,18.26,121.79,valid,Rice,rice,,671,Inbred/Hybrid,Tillering,Rodents,Rodents,307,307,0.75,,,307,0,0,,,,,35.2,Moderate
RCPC-RICE-00015,rice_pest_diseases_2015_2026.csv,rice,DS 2014-2015,,July,7,2015,2015,2015,2015-07,II,Cagayan,Gonzaga,,18.24,122.11,valid,Rice,rice,,671,"NSIC 222,146, SL-8,PHB 73",Tillering,Rice tungro virus,Rice Tungro Virus,7,7,5.5,,,7,0,0,,,,,2.2,Watchlist
RCPC-RICE-00016,rice_pest_diseases_2015_2026.csv,rice,DS 2014-2015,,July,7,2015,2015,2015,2015-07,II,Cagayan,Sta. Ana,,18.48,122.16,valid,Rice,rice,,20,"NSIC 302,300, 222",Booting,Rice tungro virus,Rice Tungro Virus,11,11,8,,,11,0,0,,,,,3.4,Watchlist
RCPC-RICE-00017,rice_pest_diseases_2015_2026.csv,rice,DS 2015-2016,,February,2,2016,2016,2016,2016-02,II,Isabela,City of Ilagan,1,17.13,122.01,valid,Rice,rice,,33.25,Inbred,Booting,Rodents,Rodents,40,40,0.75,,,40,0,0,,,,,5.2,Watchlist
RCPC-RICE-00018,rice_pest_diseases_2015_2026.csv,rice,DS 2015-2016,,December,12,2016,2016,2016,2016-12,II,Nueva Vizcaya,Bagabag,1,16.58,121.29,valid,Rice,rice,,8.5,Inbred,Panicle Initiation,Rodents,Rodents,12,12,1.5,,,12,0,0,,,,,1.9,Watchlist
RCPC-RICE-00019,rice_pest_diseases_2015_2026.csv,rice,DS 2015-2016,,December,12,2016,2016,2016,2016-12,II,Isabela,City of Ilagan,1,17.13,122.01,valid,Rice,rice,,8.5,Inbred,Tillering,Rodents,Rodents,20,20,1,,,20,0,0,,,,,2.8,Watchlist
RCPC-RICE-00020,rice_pest_diseases_2015_2026.csv,rice,DS 2015-2016,,March,3,2016,2016,2016,2016-03,II,Cagayan,Enrile,1,17.57,121.65,valid,Rice,rice,,1,Bigante/SL8/Inbred,Dough,Stem Borer,Stem/Shoot/Fruit Borer,50,50,35,,,50,0,0,,,,,15,Watchlist
RCPC-RICE-00021,rice_pest_diseases_2015_2026.csv,rice,WS 2016,,August,8,2016,2016,2016,2016-08,II,Isabela,Alicia,3,16.78,121.69,valid,Rice,rice,,4,Inbred/Hybrid,Tillering,Rodents,Rodents,91,91,0.75,,,91,0,0,,,,,11.6,Watchlist
RCPC-RICE-00022,rice_pest_diseases_2015_2026.csv,rice,DS 2015-2016,,March,3,2016,2016,2016,2016-03,II,Cagayan,Sto. Nino,4,17.81,121.53,valid,Rice,rice,,9,"PSB Rc 10/82,/NSIC 300",Reproductive,Rice Blast,Blast/Blight/Spot,23.3,23.3,15,,,23.3,0,0,,,,,6.7,Watchlist
RCPC-RICE-00023,rice_pest_diseases_2015_2026.csv,rice,DS 2015-2016,,February,2,2016,2016,2016,2016-02,II,Isabela,San Mateo,4,16.88,121.59,valid,Rice,rice,,2,Inbred/Hybrid,Flowering,Rodents,Rodents,340,340,1.5,,,340,0,0,,,,,35.4,Moderate
RCPC-RICE-00024,rice_pest_diseases_2015_2026.csv,rice,WS 2016,,August,8,2016,2016,2016,2016-08,II,Isabela,Santiago City,5,16.71,121.55,valid,Rice,rice,,34,Hybrid,Booting,BLS,Bacterial Leaf Streak,75,75,5,,,75,0,0,,,,,10.6,Watchlist
RCPC-RICE-00025,rice_pest_diseases_2015_2026.csv,rice,DS 2015-2016,,February,2,2016,2016,2016,2016-02,II,Isabela,Santiago City,10,16.71,121.55,valid,Rice,rice,,10,Inbred/Hybrid,Reproductive,Rodents,Rodents,354.84,354.84,0.1,,,354.84,0,0,,,,,35,Moderate
RCPC-RICE-00026,rice_pest_diseases_2015_2026.csv,rice,DS 2015-2016,,February,2,2016,2016,2016,2016-02,II,Isabela,Burgos,14,17.1,121.7,valid,Rice,rice,,3.7,Inbred/Hybrid,Flowering,Rodents,Rodents,200,200,1.5,,,200,0,0,,,,,25.4,Watchlist
RCPC-RICE-00027,rice_pest_diseases_2015_2026.csv,rice,DS 2015-2016,,January,1,2016,2016,2016,2016-01,II,Isabela,Aurora,18,16.98,121.62,valid,Rice,rice,,69,Inbred/Hybrid,Tillering,Rodents,Rodents,,10,1.5,,,,0,0,,,,,1.6,Watchlist
RCPC-RICE-00028,rice_pest_diseases_2015_2026.csv,rice,DS 2015-2016,,February,2,2016,2016,2016,2016-02,II,Isabela,San Manuel,19,16.61,121.63,valid,Rice,rice,,10,Inbred,Tillering,Rodents,Rodents,326.36,326.36,0.05,,,326.36,0,0,,,,,35,Moderate
RCPC-RICE-00029,rice_pest_diseases_2015_2026.csv,rice,DS 2015-2016,,February,2,2016,2016,2016,2016-02,II,Isabela,Ramon,19,16.8,121.53,valid,Rice,rice,,200,Inbred/Hybrid,Tillering,Rodents,Rodents,20,15,0.35,,,,0,0,,,,,2,Watchlist
RCPC-RICE-00030,rice_pest_diseases_2015_2026.csv,rice,DS 2015-2016,,February,2,2016,2016,2016,2016-02,II,Isabela,Quirino,20,17.18,121.74,valid,Rice,rice,,73.2,Inbred/Hybrid,Tillering,Rodents,Rodents,454,454,0.05,,,454,0,0,,,,,35,Moderate
RCPC-RICE-00031,rice_pest_diseases_2015_2026.csv,rice,DS 2015-2016,,January,1,2016,2016,2016,2016-01,II,Isabela,Cabatuan,22,16.93,121.66,valid,Rice,rice,,38.5,Inbred/Hybrid,Tillering,Rodents,Rodents,671,671,1.5,,,671,0,0,,,,,35.4,Moderate
RCPC-RICE-00032,rice_pest_diseases_2015_2026.csv,rice,DS 2015-2016,,February,2,2016,2016,2016,2016-02,II,Isabela,Cabatuan,22,16.93,121.66,valid,Rice,rice,,15,Inbred/Hybrid,Flowering,Rodents,Rodents,671,671,1.5,,,671,0,0,,,,,35.4,Moderate
RCPC-RICE-00033,rice_pest_diseases_2015_2026.csv,rice,DS 2015-2016,,February,2,2016,2016,2016,2016-02,II,Isabela,Cauayan City,29,16.93,121.77,valid,Rice,rice,,20.8,Inbred/Hybrid,Flowering,Rodents,Rodents,20,20,0.75,,,,0,0,,,,,2.7,Watchlist
